Ref,Id,Description
NP_001135441.1,215422388,death domain-associated protein 6 isoform a [Homo sapiens]
CAA63896.1,1220173,"MAP kinase phosphatase, partial [Rattus norvegicus]"
NP_005537.3,15718680,tyrosine-protein kinase ITK/TSK [Homo sapiens]
NP_001098858.1,157427902,tyrosine-protein kinase ITK/TSK [Bos taurus]
NP_034713.2,119703751,tyrosine-protein kinase ITK/TSK isoform 2 [Mus musculus]
